5/7/2018 0:17:00,hourly,0.37
5/7/2018 0:18:00,hourly,0.07
5/7/2018 0:19:00,hourly,0.02
5/7/2018 0:20:00,hourly,0.00
5/7/2018 0:21:00,hourly,0.00
5/7/2018 0:22:00,hourly,0.00
5/7/2018 0:23:00,hourly,0.00
5/8/2018 0:00:00,hourly,0.00
5/8/2018 0:01:00,hourly,0.00
5/8/2018 0:02:00,hourly,0.00
5/8/2018 0:03:00,hourly,0.00
5/8/2018 0:04:00,hourly,0.00
5/8/2018 0:05:00,hourly,0.00
5/8/2018 0:06:00,hourly,0.02
5/8/2018 0:07:00,hourly,0.17
5/8/2018 0:08:00,hourly,0.26
5/8/2018 0:09:00,hourly,0.67
5/8/2018 0:10:00,hourly,2.25
5/8/2018 0:11:00,hourly,2.36
5/8/2018 0:12:00,hourly,2.38
5/8/2018 0:13:00,hourly,2.28
5/8/2018 0:14:00,hourly,1.41
